gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant
CDH3,6.543792401500947,41.157670639693016,2.586955445750611e-131,3.587864754522449e-127,True
OTOP2,-9.47487854340781,-41.10894441316252,3.578917460870273e-131,3.587864754522449e-127,True
DHRS7C,-2.7560402865427256,-36.89903225862534,1.4877018896064908e-118,9.942807628870046e-115,True
AADACL2,-2.7601304281084773,-36.3378237071111,8.363445122504993e-117,4.1921768676556276e-113,True
OTOP3,-4.660822769913014,-35.83387441232251,3.2188957084490956e-115,1.2907771790880874e-111,True
KRT80,6.71302040764114,35.03400111612759,1.1255737043758243e-112,3.761292128789213e-109,True
ETV4,5.475597552447554,32.59062825068623,1.0794098549852012e-104,3.091738227493326e-101,True
ESM1,5.562633506737169,31.899164087905366,2.241967769675996e-102,5.618931722750466e-99,True
DAO,-5.068016714992326,-30.00467393349968,6.816360889032682e-96,1.5185337313900585e-92,True
UGP2,-2.0401696486440546,-29.570498554141903,2.222425798548262e-94,4.4559637260892655e-91,True
BEST4,-6.9572616749104546,-29.484456223003374,4.4456289389247806e-94,8.103169111403804e-91,True
LGI1,-4.5628775285689915,-29.07132225328667,1.2568315657341099e-92,2.099956074414075e-89,True
FAM135B,-4.706661819887431,-29.046581523197545,1.536328110822368e-92,2.369490663229883e-89,True
VSTM2A,-5.4649904912161045,-28.78257359937169,1.3155869457178217e-91,1.884108447260166e-88,True
TMEFF2,-3.354328458127239,-27.885740529290555,2.0660354958067213e-88,2.7616007793949837e-85,True
MTHFD1L,2.456936116322705,27.787691621043688,4.6466860621447464e-88,5.822878471625136e-85,True
SLC17A8,-4.3394486355108315,-27.766317424719585,5.545570363423105e-88,6.540510928625485e-85,True
FAM180B,-3.2876503155381194,-27.362700390153403,1.5803441431351193e-86,1.7603277816588412e-83,True
JUB,3.025879524134398,27.21501285385516,5.4101454495386395e-86,5.709127171749985e-83,True
CA7,-7.815830300187621,-27.140547230950656,1.0072057254864229e-85,1.0097237398001389e-82,True
RXRG,-4.121724492580589,-26.93707624280294,5.521879963346632e-85,5.272080631671428e-82,True
GUCA2B,-8.802408425720621,-26.055349430532452,9.307365673297374e-82,8.482394624982378e-79,True
KIAA1199,5.460912766501792,25.699865138543696,1.9089489389459284e-80,1.6641054880811246e-77,True
GLP2R,-4.664666135084428,-25.665514218065514,2.5580078409372465e-80,2.1370023837829915e-77,True
KRT24,-5.211463235544945,-25.630845008234772,3.4375247208873925e-80,2.756894826151689e-77,True
KHDRBS2,-2.472492265052022,-25.581701956230425,5.227235803765778e-80,4.031002994827071e-77,True
PYY,-8.703425157769061,-25.39937164159536,2.48114873157242e-79,1.8424826691861858e-76,True
