gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
KRT80,6.873519664634146,33.434678105744446,6.462528024920296e-63,1.2841689438319122e-58,True,5.125043224882792e-59,True
CDH3,6.539736920731708,32.14217554209994,4.6988631911716434e-61,4.6685555235885864e-57,True,2.866451127020585e-57,True
OTOP2,-9.43299533536585,-31.693848952115093,2.1460215822956924e-60,1.4214531620599232e-56,True,1.2156292540169827e-56,True
CA7,-7.854334146341468,-26.53560803686869,3.0797374596107638e-52,1.529936576498137e-48,True,6.24767998624296e-49,True
VSTM2A,-5.483840762195125,-25.975835028441928,2.7663548724665054e-51,1.0994047534156386e-47,True,4.477204220532321e-48,True
FOXQ1,5.95981451219512,25.547316110620766,1.5188551560128878e-50,4.387888492233591e-47,True,2.1131805139025625e-47,True
BEST4,-7.011229725609754,-25.542928300212886,1.5457309368242734e-50,4.387888492233591e-47,True,2.113493900239865e-47,True
SPTBN2,3.376239573170734,25.309307307556487,3.9447940616386603e-50,9.798375349852727e-47,True,4.965681718479244e-47,True
ETV4,5.30215,25.08550856125805,9.732625375417934e-50,2.1488555426103308e-46,True,1.1694486708668846e-46,True
ESM1,5.542373323170729,24.875730683377025,2.280519085060516e-49,4.5316194739237514e-46,True,2.664020686957722e-46,True
CLDN1,4.714436859756098,24.186922612852012,3.865878255692016e-48,6.983533347168732e-45,True,4.142967691748644e-45,True
PYY,-8.67108987804878,-24.035988252689616,7.239341814715288e-48,1.1987746766683957e-44,True,7.654783510322416e-45,True
RXRG,-4.0657563719512195,-23.860244283302066,1.5078364756182848e-47,2.304786046693149e-44,True,1.4947182982804057e-44,True
GUCA2B,-8.74740024390244,-23.67849779470115,3.232285046361701e-47,4.587766868303811e-44,True,3.015683921372569e-44,True
LOC92659,2.9082617073170742,23.220495306156444,2.2458367355516373e-46,2.9751347848097726e-43,True,1.874777226065127e-43,True
JUB,3.0629935975609754,23.185555608988206,2.606377346409558e-46,3.2369577656565205e-43,True,2.1530848862464957e-43,True
KIAA1199,5.458821280487808,23.01978767602105,5.29240130362471e-46,6.186194488489801e-43,True,4.239480737198526e-43,True
LGI1,-4.398258079268292,-22.97145275747225,6.510463090875037e-46,7.187189559932103e-43,True,5.061821225085822e-43,True
FAM135B,-4.5173395121951225,-22.669274400748815,2.3918331165396464e-45,2.501479782039964e-42,True,1.8064946045148582e-42,True
UGP2,-1.983116737804881,-22.6520164110589,2.5771980079384867e-45,2.5605750807872836e-42,True,1.9281331209580544e-42,True
SPATA12,2.8199714634146344,22.56186865183551,3.808280296680307e-45,3.603539894063542e-42,True,2.8225407537190196e-42,True
FEV,-4.457517987804877,-22.326793619116145,1.0590609840837596e-44,9.565727643058358e-42,True,7.432546219626413e-42,True
OTOP3,-4.576596554878049,-21.796289208274857,1.0913335086447115e-43,9.428647021860461e-41,True,6.868818457901603e-41,True
CDKN2BAS,-6.60737048780488,-21.74396432111965,1.3761882698943949e-43,1.1394265462946468e-40,True,8.526346449664461e-41,True
