gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
OTOP2,-9.527713858093124,-43.640284648968496,1.9107476351994271e-87,3.799903822121101e-83,True,1.5152993046185537e-82,True
ESM1,5.557664345898004,36.532698654360864,8.352149565597912e-77,8.304959920552284e-73,True,3.3117943457508844e-72,True
CDH3,6.525170443458982,34.71652866819441,8.11080705371918e-74,5.3766539959104437e-70,True,2.1440648086271527e-69,True
KRT80,6.479422505543231,32.60498864556809,3.459275925278361e-70,1.719865508150269e-66,True,6.858360449456879e-66,True
BEST4,-7.005848248337028,-31.413720533766924,4.635059520781711e-68,1.8435485737957177e-64,True,7.351575204721455e-64,True
OTOP3,-4.7100732594235035,-30.694814350949393,9.521294462728316e-67,3.1558330496713005e-63,True,1.2584612267870106e-62,True
ETV4,5.411748181818182,30.41740521149517,3.098861231951004e-66,8.803864759972802e-63,True,3.510744159123463e-62,True
FAM135B,-4.797784057649668,-29.402389836872384,2.48607419254e-64,6.180069683380372e-61,True,2.464445347064902e-60,True
VSTM2A,-5.5522422394678514,-29.198034155052575,6.08887259582081e-64,1.3454378812565384e-60,True,5.365243914877483e-60,True
LGI1,-4.673779556541019,-28.121399616810677,7.345306391629586e-62,1.4607610821033758e-58,True,5.295565255289024e-58,True
MTHFD1L,2.47407254988914,27.85444697395514,2.4578735448803187e-61,4.443611926094082e-58,True,1.62432669669324e-57,True
SLC17A8,-4.402955698447895,-27.22080567932021,4.460249950597527e-60,7.391749230627751e-57,True,2.3581044138812415e-56,True
GLP2R,-4.7447917294900215,-27.02629654549422,1.0956995077711786e-59,1.6761673931573407e-56,True,5.430834610267846e-56,True
AADACL2,-2.7761602882483376,-26.351814846379956,2.5567255473424095e-58,3.6318286399998925e-55,True,1.192697428273191e-54,True
CA7,-7.816617782705103,-26.31654910656986,3.018798122076356e-58,4.002322550248832e-55,True,1.3300153681841294e-54,True
RXRG,-4.179370576496673,-25.661187876782755,6.792892608070256e-57,8.017130828452816e-54,True,2.7174634773303103e-53,True
JUB,3.0242788248337007,25.659339871634927,6.853282248891129e-57,8.017130828452816e-54,True,2.7174634773303103e-53,True
SLC25A34,-4.57796126385809,-25.394270186657405,2.4493888506056113e-56,2.7061664484440996e-53,True,9.249825400401305e-53,True
FEV,-4.701715942350332,-25.32080509704066,3.491455892783281e-56,3.654451754725322e-53,True,1.2585746278240243e-52,True
GUCA2B,-8.70200115299335,-25.16033173059231,7.590188171892499e-56,7.40911268283018e-53,True,2.5852352701476793e-52,True
DHRS7C,-2.768628957871397,-25.15408080866711,7.8237726323444345e-56,7.40911268283018e-53,True,2.5852352701476793e-52,True
DAO,-5.167467694013305,-25.04843580537246,1.3067660255934795e-55,1.1812570886807968e-52,True,4.145270915746612e-52,True
PCSK2,-5.673582616407982,-25.006256769669207,1.6043740769211313e-55,1.3872255333795887e-52,True,4.893587761390516e-52,True
MUSK,-3.799200842572062,-24.91209605291617,2.5384226491562173e-55,2.1034004676570703e-52,True,7.455817398840173e-52,True
PYY,-8.79117487804878,-24.786338044754647,4.692528561135337e-55,3.7328126198119385e-52,True,1.3290581607581314e-51,True
UGP2,-2.0424632150776088,-24.634442802711924,9.881233073176e-55,7.558003158701965e-52,True,2.702142440121205e-51,True
FAM180B,-3.3040088470066507,-24.20256164612216,8.336040087813649e-54,6.139956638012965e-51,True,2.2036044104132454e-50,True
ENPP6,-3.885199024390243,-24.14876530565259,1.088961783877234e-53,7.734351069988054e-51,True,2.785775009954844e-50,True
TMIGD1,-9.028135498891348,-24.105844258331643,1.3480764493609375e-53,9.244550464979643e-51,True,3.340870460628743e-50,True
LOC92659,2.836221707317072,24.011636856662573,2.1554022997098233e-53,1.4288161844776418e-50,True,5.179758302308723e-50,True
TRIB3,3.431608137472284,23.997269173773734,2.3155471428095717e-53,1.4854608396469018e-50,True,5.400945606275596e-50,True
SLC30A10,-6.762182682926828,-23.960791922278588,2.7779538121040867e-53,1.7264114831660617e-50,True,6.294367117574357e-50,True
ADH1A,-4.415621197339246,-23.78140320036448,6.817332047721095e-53,4.108372194940285e-50,True,1.5017825019790935e-49,True
TEAD4,2.244016341463415,23.47864321690149,3.129964480691536e-52,1.784326448204575e-49,True,6.24767998624296e-49,True
C6orf223,5.275759135254992,23.475976961175952,3.172418343600288e-52,1.784326448204575e-49,True,6.24767998624296e-49,True
P2RX2,-3.363951330376939,-23.47241507195778,3.2300373176127477e-52,1.784326448204575e-49,True,6.24767998624296e-49,True
TMEFF2,-3.4005273392461204,-23.43171927782774,3.967973288053623e-52,2.1199530479647417e-49,True,7.470801595994396e-49,True
SCGN,-6.452902638580932,-23.42763567265581,4.05079779869564e-52,2.1199530479647417e-49,True,7.470801595994396e-49,True
SGCG,-3.259069711751663,-23.332774444050585,6.54946960181001e-52,3.3397256915691194e-49,True,1.1542203051154244e-48,True
CLEC3B,-4.392704966740578,-23.301961266299255,7.657548134296452e-52,3.807141493668839e-49,True,1.3201612983527084e-48,True
HPSE2,-3.8670029268292687,-23.203466128963303,1.2630606510074567e-51,6.126460284532998e-49,True,2.1311864227126668e-48,True
KIAA1199,5.415056962305989,23.15828280574621,1.5896383822048196e-51,7.52693773973982e-49,True,2.6263475471327296e-48,True
PPAT,1.7960498447893523,23.043490266310826,2.854522158925183e-51,1.3201833063847703e-48,True,4.5275005058280543e-48,True
RERGL,-5.364752727272727,-23.00998162783468,3.387508144425586e-51,1.5310766924589006e-48,True,5.267508742853464e-48,True
SLCO4A1,3.222269090909089,22.996373370044516,3.6315401344639214e-51,1.6048986367574225e-48,True,5.538378054298593e-48,True
KHDRBS2,-2.52749401330377,-22.868774934203998,6.979884291647282e-51,3.017586063217163e-48,True,1.0444014035184832e-47,True
CBFB,1.3581673170731712,22.76041016699155,1.2176585022953065e-50,5.1522499223716505e-48,True,1.7557307248368542e-47,True
WNT2,5.422176696230599,22.735320139045726,1.3853916329600658e-50,5.739850709307672e-48,True,1.9619124653618762e-47,True
PMP2,-3.920890421286031,-22.679116366420445,1.8503191373457524e-50,7.509652384570403e-48,True,2.487079811323179e-47,True
SULT1A2,-4.412377339246121,-22.617522735380238,2.5419655096139096e-50,1.0110413617938365e-47,True,3.359800546240358e-47,True
GCG,-7.679330310421285,-22.609345627677328,2.651524651091576e-50,1.0339386418874152e-47,True,3.447155916887973e-47,True
LRP8,3.4403605986696215,22.544256808912337,3.711061986143646e-50,1.4192671099699748e-47,True,4.746807415308641e-47,True
ELANE,-2.909678292682927,-22.39280949351611,8.130288201509972e-50,3.0506988955363927e-47,True,1.0074443367696045e-46,True
CLDN1,4.6364501552106425,22.364090741435867,9.437040238259298e-50,3.4754522077456045e-47,True,1.1513769831614084e-46,True
OSBPL3,1.8278308425720642,22.194166848483516,2.2842909148734627e-49,8.259580622561555e-47,True,2.664020686957722e-46,True
NFE2L3,2.575260110864752,22.137758247953442,3.065814537826546e-49,1.0887473877456521e-46,True,3.523642842141977e-46,True
KIAA1737,-1.3140569179600874,-22.12348404665291,3.3030247604365035e-49,1.1487607076816293e-46,True,3.742043937166521e-46,True
ENC1,1.9911449223946835,22.120760628057223,3.3503354475554132e-49,1.1487607076816293e-46,True,3.742183131449782e-46,True
C17orf96,3.3941573614190714,22.092366573449745,3.886042374021782e-49,1.3098597405452743e-46,True,4.280259783741992e-46,True
