gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
KRT80,7.078373671044404,32.03490250068067,2.0470566720584854e-47,4.058494558023153e-43,True,2.0041948434682239e-44,True
OTOP2,-9.382075046904312,-30.92068576200652,2.825521880938135e-46,2.8009398405739732e-42,True,2.3100534767620397e-43,True
ESM1,5.913242714196372,29.584378863778014,7.329776241947514e-45,4.844004792428381e-41,True,5.2367619377604115e-42,True
ETV4,5.862958974358974,28.896290273815037,4.112833786954485e-44,2.0385260665039904e-40,True,2.673476808529823e-41,True
FOXQ1,6.3565887429643535,27.55161824697942,1.3226569593555802e-42,5.244599375236747e-39,True,6.515030279797201e-40,True
FAM135B,-4.790157973733584,-27.3082751553176,2.5154209065913878e-42,7.921610121865536e-39,True,1.1694807638610487e-39,True
CDH3,6.60506804252658,27.268288044187397,2.7968965425733253e-42,7.921610121865536e-39,True,1.2895644384432267e-39,True
GLP2R,-4.597521263289556,-26.858551962758934,8.353448106329145e-42,2.0701932769510204e-38,True,3.523733237363439e-39,True
CA7,-7.452667479674801,-25.80146521873575,1.4967876276859965e-40,3.297256834055841e-37,True,5.420148220365765e-38,True
CLDN1,5.072234584115071,25.55794248392094,2.948714449889684e-40,5.846121268351288e-37,True,1.025635310237068e-37,True
KIAA1199,5.669712883051908,24.761834661856806,2.8045747112327906e-39,5.054863474991028e-36,True,8.424772458318381e-37,True
BEST4,-6.702612257661036,-24.659397654065135,3.762732154123607e-39,6.216660640637886e-36,True,1.1134317565321587e-36,True
GRIN2D,5.115123389618517,24.62637598106283,4.137474667677528e-39,6.30996713549036e-36,True,1.2107686016439066e-36,True
CLEC3B,-4.198914383989995,-23.867506678818252,3.76848927751449e-38,5.336719172571592e-35,True,9.487500751238386e-36,True
LOC92659,3.025036835522204,22.997641984874402,5.066769599623407e-37,6.696918272142245e-34,True,1.1069286400235116e-34,True
JUB,2.9487971232020023,22.895660841789198,6.904226863717724e-37,8.555200112504225e-34,True,1.4878608891311697e-34,True
TRIB3,3.848887554721702,22.849636534371058,7.941594365650826e-37,9.26176764078784e-34,True,1.6750005307807797e-34,True
GUCA2B,-8.561944090056286,-22.248275753305517,5.0421753441923737e-36,5.553676020775445e-33,True,9.705453240190098e-34,True
VSTM2A,-5.285345153220765,-21.896369907795425,1.512489763907486e-35,1.5782432662752535e-32,True,2.7081291547917125e-33,True
KIAA1549,2.6901099437148197,21.408674462977118,7.079896521457746e-35,7.018301421721063e-32,True,1.1388724416585903e-32,True
SCGN,-6.289828955597249,-21.16949643365958,1.5231286959641134e-34,1.437978548865929e-31,True,2.3318571062690742e-32,True
SLCO4A1,3.4149205128205136,21.049770915748876,2.24013042637242e-34,2.018764810602709e-31,True,3.302068835186588e-32,True
PVT1,2.8111427767354584,20.946242255551518,3.130995821000533e-34,2.6989183977024597e-31,True,4.4878522766483786e-32,True
EPHX4,4.714102626641649,20.696924752599998,7.045579765954172e-34,5.820236018325309e-31,True,9.518614271877847e-32,True
LGI1,-4.407616572858036,-20.670476146657464,7.68165780404821e-34,6.091861904922393e-31,True,1.025565977259662e-31,True
SLC25A34,-4.452427767354594,-20.63830605066928,8.534110253018283e-34,6.5075873029361724e-31,True,1.1261049575796372e-31,True
GTF2IRD1,2.3353124452783014,20.559480089044097,1.1049735618457474e-33,8.113779939686588e-31,True,1.4179421253821222e-31,True
GFRA2,-4.625360287679801,-20.255080308735273,3.01571162719336e-33,2.1067236130136066e-30,True,3.5170293365138563e-31,True
PRR7,2.8822173858661695,20.24856557276028,3.081558800433501e-33,2.1067236130136066e-30,True,3.5832835646565745e-31,True
ENPP6,-3.707215947467167,-20.13609508375026,4.4775580374849645e-33,2.9590688550392304e-30,True,5.07994653225619e-31,True
CMA1,-4.459037711069419,-19.945329227639597,8.466002727428728e-33,5.414418389483935e-30,True,9.222360993077031e-31,True
C20orf20,1.6707804252657894,19.87622037911396,1.0674162888801922e-32,6.61331104479334e-30,True,1.148580479964108e-30,True
NFE2L3,2.7201272670418994,19.758464259605702,1.586288941772252e-32,9.530231684720203e-30,True,1.669906243730639e-30,True
RXRG,-4.056172045028142,-19.616654731018034,2.56141956110924e-32,1.4936089476044644e-29,True,2.5843615378397858e-30,True
SULT1A2,-4.294602001250781,-19.59384312312741,2.767250478460356e-32,1.5675287995987146e-29,True,2.7849496439571074e-30,True
TOMM34,1.91286541588493,19.515802646278424,3.606466393542975e-32,1.9861611866217505e-29,True,3.584050261573084e-30,True
FUT1,2.7921033145716043,19.507605915782857,3.7083576869402614e-32,1.9870783648993952e-29,True,3.666927655924071e-30,True
GLTP,-1.6081232645403372,-19.43368843199883,4.7692178425049583e-32,2.488276656460613e-29,True,4.663601131714096e-30,True
PDX1,4.964690931832393,19.42557695014082,4.902913367050279e-32,2.4924400106445855e-29,True,4.782541717842009e-30,True
FGL2,-3.7183248280175105,-19.408183274653716,5.20250330352436e-32,2.578620762391849e-29,True,5.0685420390994576e-30,True
PYY,-8.251063852407755,-19.382960052639167,5.670117665236317e-32,2.741847630023786e-29,True,5.510576119165452e-30,True
UGP2,-2.038062539086935,-19.337186830680263,6.629904213129876e-32,3.1296304983217363e-29,True,6.37306574203699e-30,True
SPTBN2,3.407891432145089,19.283581579661092,7.964830315238353e-32,3.672342461160827e-29,True,7.546510194978045e-30,True
SPIB,-6.100264915572231,-19.22832596526987,9.626083306381545e-32,4.337425628007284e-29,True,9.034164621648308e-30,True
CITED2,-2.0488392745465926,-19.217682817912703,9.984226209022227e-32,4.39882819600166e-29,True,9.337135321701636e-30,True
NKRF,1.5002852407754848,19.18709644525842,1.1090178993729383e-31,4.779867146297364e-29,True,1.0322717780736092e-29,True
CPNE7,5.310849593495936,19.158926636727934,1.2217989346699662e-31,5.153911846546117e-29,True,1.1266691013379884e-29,True
GUCA2A,-6.681549656035023,-19.134030447814304,1.3310866198154498e-31,5.497942359262731e-29,True,1.2231806871129135e-29,True
OSBPL3,2.0337954346466525,19.07269446651296,1.6443893492720471e-31,6.653400660952573e-29,True,1.483579669563941e-29,True
SLC17A8,-4.427449218261414,-19.064612989466315,1.6908845970347137e-31,6.704695604162047e-29,True,1.522064836359148e-29,True
HPGDS,-3.853427392120073,-19.010903286314857,2.0355269563417467e-31,7.913011262045385e-29,True,1.8097021271942362e-29,True
NPY6R,-5.065837961225765,-18.987694244280874,2.205641797151131e-31,8.409433513522754e-29,True,1.945675384663774e-29,True
DKC1,1.6271412757973724,18.977879252256916,2.2818366264364578e-31,8.535791123722493e-29,True,2.008421440875881e-29,True
ENC1,2.003209631019388,18.859603478681024,3.4388238862633857e-31,1.2625578216492202e-28,True,2.929242636694216e-29,True
MTHFD1L,2.474027141963729,18.824049278875936,3.891299193577239e-31,1.4027072329429516e-28,True,3.293442809471178e-29,True
C2orf88,-4.2008081300813,-18.79788242461498,4.2623220389008635e-31,1.5090142275580094e-28,True,3.5807117264088355e-29,True
MUSK,-3.7012492808005,-18.783029297855645,4.488617432821335e-31,1.5612513898792244e-28,True,3.758873462433613e-29,True
RERGL,-5.143964102564102,-18.73381903291474,5.3287713386963135e-31,1.8215210441550537e-28,True,4.443668583007071e-29,True
INHBA,5.2055369606003765,18.662803906620923,6.829322605511092e-31,2.2948838979129303e-28,True,5.606548653286248e-29,True
ADH1A,-4.1477796122576605,-18.651738494902215,7.098889266209561e-31,2.3457096431978458e-28,True,5.779982693711324e-29,True
ETFDH,-1.9825519074421543,-18.6297361721244,7.667246405258572e-31,2.491980774273057e-28,True,6.185588086700161e-29,True
CBX2,3.7570265791119457,18.587990090520357,8.875082493009246e-31,2.8380223468774404e-28,True,7.11657777578974e-29,True
TMIGD1,-8.280520137585988,-18.579376479287642,9.147292210773334e-31,2.8786383392189224e-28,True,7.32744304528453e-29,True
UTP14A,1.6436672920575415,18.50979120460491,1.1679506226203035e-30,3.6180920381359593e-28,True,9.243827961704646e-29,True
FAM180B,-3.393037961225765,-18.488699613463435,1.2578907869745034e-30,3.8367604219317697e-28,True,9.857289621563836e-29,True
SLC7A5,3.189809068167609,18.474888050202313,1.3205451580893736e-30,3.9668376218605946e-28,True,1.0338056586092764e-28,True
ACADS,-2.734137648530332,-18.406138067203777,1.682601921105881e-30,4.978994878782864e-28,True,1.2917431050472485e-28,True
LRRC8E,2.992067792370234,18.387937155848004,1.7942401830467563e-30,5.231265568983087e-28,True,1.3747867002544924e-28,True
SLC39A10,1.90106960600375,18.372596254059122,1.894127383470045e-30,5.442459348503929e-28,True,1.4458991240642923e-28,True
IL6R,-3.1693558474046277,-18.30862592496986,2.3749444620797085e-30,6.726521272170329e-28,True,1.7784947650686421e-28,True
PKIB,-4.5011233896185106,-18.304470842826895,2.4101391120068173e-30,6.730058878119318e-28,True,1.8031478503640436e-28,True
NR3C2,-3.4711915572232668,-18.2848703510227,2.5833961149304202e-30,7.113668246473682e-28,True,1.921891608803396e-28,True
WNT2,5.193089493433395,18.253161940125537,2.8907220542604375e-30,7.850884307913347e-28,True,2.130537377240425e-28,True
ABCA8,-6.21219412132583,-18.236808888814924,3.063391335566995e-30,8.207404948506925e-28,True,2.246353336667978e-28,True
SCARA5,-6.668878861788621,-18.221302718770946,3.236731516874441e-30,8.556191873807024e-28,True,2.3592440828512013e-28,True
SALL4,4.371403064415261,18.21168199215172,3.3492242766743735e-30,8.737068488071859e-28,True,2.4305079377906507e-28,True
PDCD4,-1.983330081300812,-18.077999472375716,5.390351770733985e-30,1.3879105741113245e-27,True,3.77963268635091e-28,True
DNAJC2,1.494103814884296,18.037781762919945,6.222672450802897e-30,1.581675692431003e-27,True,4.287426724921572e-28,True
COL11A1,6.751623264540335,17.99710187328148,7.19680750690405e-30,1.8061253877453124e-27,True,4.907443013994142e-28,True
GPT,-4.329289368355223,-17.93276433172757,9.061779175827022e-30,2.2273112882587626e-27,True,6.073189515360994e-28,True
SLC30A10,-6.365049093183238,-17.931597241562812,9.099778792946624e-30,2.2273112882587626e-27,True,6.08472898310151e-28,True
XPOT,1.5283534709193276,17.92725883117054,9.242450157118188e-30,2.234644107500307e-27,True,6.16972447188637e-28,True
GCNT2,-4.1160404627892415,-17.909962763713626,9.834050936659274e-30,2.3490348659061055e-27,True,6.548107266841537e-28,True
KLK6,7.442423889931207,17.897050747020057,1.0300497970630414e-29,2.4311627710204593e-27,True,6.8471977457072445e-28,True
DNAJC28,-1.767425703564728,-17.883848332181383,1.080054643891696e-29,2.519195690564325e-27,True,7.14963718524099e-28,True
TAF1D,1.4942699186991852,17.813956468768716,1.3886307250862293e-29,3.2012782273906486e-27,True,9.07116730001963e-28,True
ELANE,-2.9151990619136967,-17.810364399285763,1.4067049628212903e-29,3.2056704129764253e-27,True,9.159058322789787e-28,True
TMEM72,-5.266462789243276,-17.772755864652456,1.6108143939135877e-29,3.629091610651226e-27,True,1.0419577870711514e-27,True
ASPA,-3.8085507191995003,-17.745577663054338,1.7767048744543077e-29,3.9578596450484384e-27,True,1.1372058382867184e-27,True
MDFI,3.7669550969355887,17.694062866256672,2.1399890633803773e-29,4.714158130064374e-27,True,1.3544269168580802e-27,True
LYVE1,-4.661914509068167,-17.68448146038004,2.215412789856003e-29,4.826678458426936e-27,True,1.3988144576969782e-27,True
NKX2-3,-2.91443852407755,-17.61942175620108,2.8036869591107906e-29,6.0419453968837536e-27,True,1.7370593016040793e-27,True
TCF21,-2.45894890556598,-17.598779664434385,3.021525664596067e-29,6.4413728845464104e-27,True,1.8603965163441498e-27,True
