gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
OTOP2,-9.514449918699185,-34.60957430296572,3.0490386735332537e-52,4.551459218233115e-48,True,6.24767998624296e-49,True
FAM135B,-4.730148401084012,-34.431146570711626,4.616084399830745e-52,4.551459218233115e-48,True,8.319862664640395e-49,True
ETV4,5.538619999999995,33.08343716818343,1.1255253611340314e-50,7.398453373854367e-47,True,1.6529382081365412e-47,True
KRT80,6.752001192411922,29.97540867329138,2.7751007839296664e-47,1.2409143891097013e-43,True,2.6515252116717864e-44,True
CDH3,6.681275392953929,29.927518792246865,3.146334657986058e-47,1.2409143891097013e-43,True,2.9704395680586467e-44,True
PYY,-9.198280433604337,-29.64851623339451,6.5601083530028685e-47,2.1560889453536094e-43,True,5.911850373028859e-44,True
LGI1,-4.680406829268292,-28.66223124511289,9.227988548981546e-46,2.599656202655944e-42,True,7.0366961912349275e-43,True
VSTM2A,-5.449670623306235,-27.54457855808908,2.0215900774895793e-44,4.983219541011813e-41,True,1.3472283992036436e-41,True
ESM1,5.3091037398374,27.10052020808113,7.086859664118483e-44,1.5528096952935166e-40,True,4.4961305504260176e-41,True
GLP2R,-4.741843143631437,-26.907385700012128,1.2291398515662988e-43,2.4238637872887412e-40,True,7.675252503040453e-41,True
KIAA1199,5.580539891598917,26.39297524302775,5.410532728150088e-43,9.087952024803673e-40,True,2.9188903909742486e-40,True
TMIGD1,-9.468816205962057,-26.3854406697542,5.530193929900815e-43,9.087952024803673e-40,True,2.9632871582219883e-40,True
GUCA2B,-9.345070243902441,-25.9922377600742,1.7437984378504773e-42,2.645208091877801e-39,True,8.280849779358937e-40,True
LHFPL4,-4.1261866666666664,-25.805642019788895,3.0216157647340293e-42,4.256161634325361e-39,True,1.3771621644049854e-39,True
CA7,-8.140118590785914,-25.7302278046412,3.7766682029757784e-42,4.9650597975121566e-39,True,1.7017323589135858e-39,True
BEST4,-7.043140975609754,-25.30274824367951,1.3501549820197485e-41,1.66406601533934e-38,True,5.576702640317403e-39,True
PCSK2,-5.692996151761518,-25.115615831009084,2.3705208953951544e-41,2.749804238658379e-38,True,9.640604568636786e-39,True
ADH1A,-4.26251756097561,-25.047100509052488,2.915390123482981e-41,3.193971846393577e-38,True,1.1736147124502249e-38,True
CDKN2BAS,-7.176289376693767,-24.455004199180866,1.7744612719625409e-40,1.8417040149000686e-37,True,6.367505733561871e-38,True
JUB,3.083784986449862,24.343781776495096,2.5003561847580186e-40,2.4653511981714066e-37,True,8.852153878395085e-38,True
RXRG,-4.168104010840108,-23.999466006474208,7.283161189812392e-40,6.839235174433352e-37,True,2.3966133402360247e-37,True
SLC25A34,-4.7129540921409205,-23.90723819559786,9.717031702987661e-40,8.709993871950758e-37,True,3.132518220218429e-37,True
SCGN,-6.514449810298104,-23.675828494262372,2.0104443095818502e-39,1.7014382963394852e-36,True,6.179700601824769e-37,True
GLTP,-1.5319063414634133,-23.666462018674885,2.070715979317832e-39,1.7014382963394852e-36,True,6.267788550527532e-37,True
FEV,-4.703671598915988,-23.396318753888767,4.8722705006579975e-39,3.8432469709190286e-36,True,1.3999657238557313e-36,True
MUSK,-3.6585701355013547,-23.22779428717028,8.339692389187201e-39,6.325335919798908e-36,True,2.3124858924199363e-36,True
ABCA8,-6.841110189701899,-23.087815298409865,1.306085075533778e-38,9.539258403528185e-36,True,3.571647270004508e-36,True
ENPP6,-3.9033256910569105,-23.045845062493655,1.4946945263132409e-38,1.0526920021034683e-35,True,4.059426531326892e-36,True
KIAA1257,3.611984281842819,22.98107471100099,1.8412348719287567e-38,1.2520397129115547e-35,True,4.88352141416181e-36,True
CLEC3B,-4.393841734417347,-22.792715366098342,3.3846282691884084e-38,2.155811984388516e-35,True,8.614025722142614e-36,True
ASPA,-4.16443430894309,-22.79232138196675,3.3889539308338744e-38,2.155811984388516e-35,True,8.614025722142614e-36,True
GCG,-8.008762330623306,-22.7463001997126,3.934649989438506e-38,2.4247280559914793e-35,True,9.874477302608585e-36,True
PPAP2A,-2.259734092140926,-22.313839345703883,1.6175169469215192e-37,9.665889149482533e-35,True,3.795135028362845e-35,True
SLC30A10,-6.859297127371272,-22.15202030063312,2.7589983494436864e-37,1.6002190426773381e-34,True,6.269329659148484e-35,True
MTHFD1L,2.44710184281843,22.074682787147733,3.5645650507411976e-37,2.008377794303326e-34,True,7.94056929168483e-35,True
FOXQ1,5.786515067750679,21.867607359132354,7.099923156129974e-37,3.889180128857864e-34,True,1.525887008058893e-34,True
PDX1,4.624611273712737,21.694003662609056,1.2695849585754713e-36,6.766544698137377e-34,True,2.621957436324718e-34,True
