"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
6.87986835290575,7.32921803278689,33.5561899911376,3.40546989444586e-63,6.99142969329735e-59,133.231319912641,"KRT80"
6.54293860283047,8.61360901639344,32.2925868702943,2.24240314884421e-61,2.30182683228858e-57,129.137471205391,"CDH3"
-9.44340325203252,4.00623606557377,-31.7643573335339,1.34200633183933e-60,9.18379666422049e-57,127.385815674588,"OTOP2"
-7.8496736525143,5.78616557377049,-26.5778021313545,2.176398242213e-52,1.11703639781582e-48,108.802108811831,"CA7"
-5.49411333935562,2.66818852459016,-26.0588466620225,1.66818129514106e-51,6.8495523978492e-48,106.792733015549,"VSTM2A"
-7.0125029509184,5.75501885245902,-25.6038294932037,1.01854422150269e-50,3.4851188112417e-47,105.006710941844,"BEST4"
5.98207012947907,7.72638278688525,25.5134460906879,1.46287434000433e-50,4.29040145718414e-47,104.649212671314,"FOXQ1"
3.37870349292382,8.48662049180328,25.4602390352528,1.81110394661848e-50,4.64774550300968e-47,104.438334261697,"SPTBN2"
5.31187654320988,9.06563770491803,25.1909379760219,5.36252494795959e-50,1.22325152424012e-46,103.366135899596,"ETV4"
5.55014793736826,5.22741721311475,24.9029457060997,1.72717092183074e-49,3.5458819025185e-46,102.210470487471,"ESM1"
4.72786202950918,9.18731475409836,24.2549280469235,2.48292699999419e-48,4.63404466453461e-45,99.5754131676459,"CLDN1"
-8.65780487804878,4.55069016393443,-24.0259043757099,6.4418393681323e-48,1.10209135189797e-44,98.6324969058443,"PYY"
-4.06989882565492,2.33294918032787,-23.9743303891365,7.99110698900806e-48,1.26198020372566e-44,98.4193147603884,"RXRG"
-8.74538407106293,5.05902868852459,-23.7316534994419,2.21205190155719e-47,3.24381610992637e-44,97.4120062218125,"GUCA2B"
-4.40762682926829,2.23075163934426,-23.0644589024472,3.76495811233447e-46,5.15297266974844e-43,94.6065555652427,"LGI1"
3.05068572719061,7.93019918032787,23.0104678012698,4.74636394874306e-46,6.09017824173094e-43,94.3771971976265,"JUB"
-1.98285209274315,11.6539967213115,-22.861294477473,9.01756898389907e-46,1.0890040661144e-42,93.7416655076165,"UGP2"
2.89580948509485,5.76169590163934,22.8417163689526,9.81195786953318e-46,1.11910830589731e-42,93.6580556520869,"LOC92659"
-4.5305997591087,2.58339836065574,-22.7229886963876,1.6388274744686e-45,1.77079621320212e-42,93.1500225346767,"FAM135B"
5.42306236073472,9.44620901639344,22.4669772873936,4.98177177216786e-45,5.11378872413031e-42,92.0487083000672,"KIAA1199"
2.83409701897019,3.3224131147541,22.4128209635683,6.30900566424737e-45,6.07173050332221e-42,91.8147100761525,"SPATA12"
-4.45577431496537,2.43043852459016,-22.4057600299994,6.50648178631703e-45,6.07173050332221e-42,91.7841747323634,"FEV"
-4.57987792833484,1.80164918032787,-21.9038873971592,5.90762705888629e-44,5.27319928343198e-41,89.5980596448904,"OTOP3"
-1.61650189701897,10.0921950819672,-21.8577720504655,7.24619633231364e-44,6.19851711259996e-41,89.3956204556326,"GLTP"
