"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-9.53445550428477,3.313375,-43.6854370387528,1.20135431420482e-87,2.4663804070625e-83,188.820659705803,"OTOP2"
5.55582878488244,5.5997,36.4657649923174,8.23682462306726e-77,8.45510047557855e-73,164.418927857898,"ESM1"
6.53317497253351,9.04046381578947,34.7901039181869,4.76243721336721e-74,3.2590945330143e-70,158.166906364038,"CDH3"
6.46721206328279,7.48420328947368,32.4645568644768,4.87144000781069e-70,2.50026658400884e-66,149.07129395055,"KRT80"
-7.00391773236651,5.29615789473684,-31.4142762296015,3.71636838584933e-68,1.52594085922973e-64,144.794094011645,"BEST4"
-4.71126528235553,1.40192434210526,-30.8228205415657,4.47449717780841e-67,1.53102378434011e-63,142.336860442942,"OTOP3"
5.40401981981982,9.48525657894737,30.4030099820428,2.6727759646816e-66,7.83887007927332e-63,140.570994182384,"ETV4"
-4.79724834102395,2.08816578947368,-29.4965317113259,1.34788853678837e-64,3.45901895753316e-61,136.695122351645,"FAM135B"
-5.55912221489782,2.25629736842105,-29.2687550153578,3.65870472410964e-64,8.34591199844121e-61,135.707451465976,"VSTM2A"
-4.6781340364755,1.74085789473684,-28.2223781774893,3.85817476842592e-62,7.92083279957841e-59,131.09753211532,"LGI1"
2.474555416392,9.24010592105263,28.0411869653467,8.74819869416181e-62,1.63273199264674e-58,130.286960966967,"MTHFD1L"
-4.40730555921775,1.66729736842105,-27.321767022686,2.33944645627734e-60,4.00240297894781e-57,127.031985953367,"SLC17A8"
-4.75659527576357,2.58141907894737,-26.9993287304094,1.03974750221467e-59,1.64200124772825e-56,125.55392125154,"GLP2R"
-2.77672999340804,0.811653947368421,-26.5176112478068,9.86971488511625e-59,1.44732318993883e-55,123.32323429042,"AADACL2"
-7.80611342562074,5.29731710526316,-26.2710185647947,3.15573836663128e-58,4.31915391112934e-55,122.170811859841,"CA7"
-4.1767753021314,1.98495,-25.7245150911161,4.25371951000929e-57,5.45805384628067e-54,119.591090881501,"RXRG"
3.0205795209844,8.11056184210526,25.696280113558,4.87018122147119e-57,5.88146002804726e-54,119.456841017591,"JUB"
-2.76929696769941,0.8204625,-25.3051697458718,3.20564229933057e-56,3.65621313362537e-53,117.587338899774,"DHRS7C"
-8.70406411777631,4.50913289473684,-25.2032528654538,5.25365890504135e-56,5.67671670107889e-53,117.097139108233,"GUCA2B"
-5.17184924192485,1.87700855263158,-25.1328867567762,7.39442036322668e-56,7.59037250285219e-53,116.757955813731,"DAO"
-5.6766632388486,2.35877368421053,-25.0821810033768,9.46303679616405e-56,9.2512450202499e-53,116.513167076558,"PCSK2"
-3.80454713249835,1.61431842105263,-25.0025585155554,1.39482192529279e-55,1.30162246028459e-52,116.128146538468,"MUSK"
-2.04225436167875,11.4790973684211,-24.8119088190196,3.54234514165522e-55,3.16192807644268e-52,115.203097487478,"UGP2"
-4.55490628433311,5.11327828947368,-24.7050004190926,5.9854970847022e-55,5.12009396453901e-52,114.682419509296,"SLC25A34"
-3.30026561195342,1.33154736842105,-24.2577320297614,5.45357503581182e-54,4.47847581940866e-51,112.488811402389,"FAM180B"
-9.04464515491101,4.25573618421053,-24.1281395139166,1.03916364744118e-53,8.20539603152591e-51,111.848603702674,"TMIGD1"
-8.74215262579653,3.91483289473684,-24.077682559256,1.33642277428946e-53,1.01617627985787e-50,111.598773659132,"PYY"
3.42547646671061,9.39600657894737,23.9920796325802,2.04936007115926e-53,1.50262008074641e-50,111.174198475808,"TRIB3"
-6.75238457481872,3.074675,-23.9390262292157,2.67231465278624e-53,1.89181447661039e-50,110.910604569049,"SLC30A10"
2.83423080641617,5.90880263157895,23.9268948666397,2.83966090172309e-53,1.9432746104125e-50,110.85028099757,"LOC92659"
-4.40197684025489,2.12879605263158,-23.6090505089412,1.40344582823331e-52,9.29443317859027e-50,109.263231505457,"ADH1A"
2.24322291803999,8.48739671052632,23.594145602228,1.51310513840655e-52,9.70751515358952e-50,109.188498065352,"TEAD4"
-3.36043662931224,1.37291644736842,-23.5280240725688,2.11329158092687e-52,1.31472351989177e-49,108.85662718738,"P2RX2"
-3.26325198857394,1.34026973684211,-23.4357640558581,3.37129818741406e-52,2.03566917022384e-49,108.392645941928,"SGCG"
5.29338209184795,7.60505460526316,23.4232718005309,3.59167529933313e-52,2.10677411129455e-49,108.329739291678,"C6orf223"
-4.40415284552846,7.25522894736842,-23.3045331605295,6.56299146926161e-52,3.74272819066502e-49,107.730831237905,"CLEC3B"
5.4204415732806,9.804,23.2363373582562,9.2855697623573e-52,5.15223641138366e-49,107.386053273532,"KIAA1199"
-3.87724058448692,2.17197697368421,-23.2207854283763,1.00510638483489e-51,5.43021949491062e-49,107.307345066625,"HPSE2"
-3.8581921775434,2.81434342105263,-23.1650333651056,1.3355251967132e-51,7.03034161244152e-49,107.024933164917,"ENPP6"
-5.37291171171171,2.34676052631579,-23.0697699440381,2.17251065317471e-51,1.11504109274192e-48,106.541467166593,"RERGL"
-2.5295635464733,0.909965131578947,-23.0080799467195,2.97894091847299e-51,1.49165017210367e-48,106.227775060815,"KHDRBS2"
3.23332522522522,9.26337828947368,22.9764956636292,3.50214802976818e-51,1.71188331074144e-48,106.066983186979,"SLCO4A1"
1.36289470446056,10.0202644736842,22.9200050687397,4.67903541502584e-51,2.23396737373211e-48,105.77908089284,"CBFB"
1.78838925510877,8.74407039473684,22.8120169407865,8.1500418723424e-51,3.80273544634522e-48,105.227596678299,"PPAT"
-3.92643392660954,1.66888947368421,-22.7600269754198,1.0651587759946e-50,4.8594910380376e-48,104.96156127701,"PMP2"
3.44541814985717,7.44991315789474,22.6059366765002,2.35959116763697e-50,1.05309579720841e-47,104.171054612951,"LRP8"
-4.64687688420127,1.9953375,-22.5751508084257,2.76696525476675e-50,1.20863397192258e-47,104.012756329476,"FEV"
-4.40524115578994,5.52707565789474,-22.5417333818483,3.28958672238956e-50,1.4069836543887e-47,103.840790193412,"SULT1A2"
