gene,log2FC,FDR_per_contrast
CDH3,6.543792401500947,3.587864754522449e-127
OTOP2,-9.47487854340781,3.587864754522449e-127
DHRS7C,-2.7560402865427256,9.942807628870046e-115
AADACL2,-2.7601304281084773,4.192176867655628e-113
OTOP3,-4.660822769913014,1.2907771790880875e-111
KRT80,6.71302040764114,3.761292128789213e-109
ETV4,5.475597552447554,3.091738227493326e-101
ESM1,5.562633506737169,5.618931722750466e-99
DAO,-5.068016714992326,1.5185337313900584e-92
UGP2,-2.0401696486440546,4.4559637260892655e-91
BEST4,-6.957261674910455,8.103169111403803e-91
LGI1,-4.562877528568992,2.099956074414075e-89
FAM135B,-4.706661819887431,2.369490663229883e-89
VSTM2A,-5.4649904912161045,1.884108447260166e-88
TMEFF2,-3.354328458127239,2.761600779394984e-85
MTHFD1L,2.456936116322705,5.822878471625136e-85
SLC17A8,-4.339448635510832,6.540510928625485e-85
FAM180B,-3.28765031553812,1.7603277816588412e-83
JUB,3.025879524134398,5.709127171749985e-83
CA7,-7.815830300187621,1.0097237398001388e-82
RXRG,-4.121724492580589,5.272080631671428e-82
GUCA2B,-8.802408425720621,8.482394624982378e-79
KIAA1199,5.460912766501792,1.6641054880811246e-77
GLP2R,-4.664666135084428,2.1370023837829915e-77
KRT24,-5.211463235544945,2.756894826151689e-77
KHDRBS2,-2.472492265052022,4.031002994827071e-77
PYY,-8.703425157769061,1.8424826691861855e-76
SLC25A34,-4.5045193757462005,5.480520304386983e-75
LOC92659,2.8874512877366585,7.864716015550032e-75
SGCG,-3.1863541872761383,1.3439185301432492e-74
ELANE,-2.910332628347263,1.3439185301432492e-74
PCSK2,-5.488314574449941,5.682091177403405e-74
CLDN1,4.759634700665192,6.5538390147131006e-74
FOXQ1,5.86171881289442,1.715472028896019e-73
LRP8,3.411497381886403,3.4471001673109954e-73
GRIK1,-2.571637804878048,5.454537250787864e-73
CMTM5,-3.3814230086986177,6.762700480268639e-73
CHAT,-2.422158024901927,1.288804776462695e-72
MUSK,-3.636548814600034,1.586731263203426e-72
RERGL,-5.244468181818181,2.334823358873969e-72
C6orf223,5.299156967422819,2.498688933848937e-72
CLEC3B,-4.302754477230088,9.007673029252952e-71
SULT1A2,-4.360732653931433,1.1544423007146218e-70
P2RX2,-3.251112169537778,1.5302111415665157e-70
PDX1,4.6991366194780815,4.085183084289895e-70
SLC30A10,-6.554572752856898,6.387930241374475e-70
TRIB3,3.54611191369606,7.389615213340703e-70
NPY2R,-3.995617166979363,8.235968349926792e-70
NFE2L3,2.646754306668937,8.658045358472095e-69
FEV,-4.536726292000681,4.172330173621663e-68
WNT2,5.328117465461359,4.567343003603498e-68
TEAD4,2.206581306498385,1.6514794242680042e-67
PMP2,-3.806013917789527,2.4988815100543876e-67
TMIGD1,-8.941151722667572,2.6502689191983105e-67
CDH10,-2.1409666467678665,3.899122613364183e-67
ENC1,2.052032824492585,8.830855645059721e-67
SLCO4A1,3.257687062937068,1.3850176058032092e-66
SPTBN2,3.2963586815623387,2.207923378655753e-66
PRSS22,4.591958016373876,2.89792374939829e-66
TTC26,2.0688267695718894,5.752943345187615e-66
CDKN2BAS,-6.65517069759509,6.562472365154752e-66
SCGN,-6.271369281937576,2.2553292735255467e-65
LRRC8E,2.768221755074194,2.5028347624472416e-64
GRIN2D,4.781039007334136,2.698042486962e-64
ADH1A,-4.2390262323042815,3.1696247263926964e-64
GCG,-7.600356464267439,1.505662510417662e-63
FIGF,-4.336243296946956,1.643377319610964e-63
TAT,-3.54796438683268,1.7562404938524433e-63
ENPP6,-3.733313150264369,2.1622948639003798e-63
PEX26,-2.001627707658187,3.346828436378585e-63
PHLPP2,-2.5324259252942163,5.514882158877478e-63
FAM151A,-4.233788461538461,6.790677796647777e-63
ANLN,2.2803659133549363,6.790677796647777e-63
C17orf96,3.4655072914890006,7.419611340242793e-63
XKR4,-3.028603257717892,1.1597150804022085e-62
SST,-6.072859636704758,2.4971250067699478e-62
ZNF575,-2.2485950537267607,2.6303403837653454e-62
TMEM72,-5.117705679686166,6.236268090962322e-62
ABCB11,-4.5515395446017415,6.7479475099743565e-62
PLCD1,-2.490170979020972,1.2721995376789382e-61
STMN4,-3.373641216100971,1.3242869799438049e-61
TRIP13,2.290918105065669,1.7013564971043128e-61
TEX11,-4.0485913013815455,2.2611485416897027e-61
SLC7A5,3.028151142759686,2.5636928408300758e-61
ABCG2,-5.424622326454035,1.8227522180251102e-60
C2orf88,-4.223382722155889,1.8227522180251102e-60
GSG1L,-2.359594439706634,4.4769554837067603e-60
CNGB1,-2.757965324918984,4.4865804271256964e-60
ANGPTL7,-4.576529515606345,5.161548045633788e-60
GTF2IRD1,2.1331454289612832,7.118660401610476e-60
MYOT,-4.233891378134062,1.022097186510128e-59
SLC30A8,-2.1842997185741093,2.269943000941748e-59
TNFRSF12A,2.6982676189664083,3.224446712544335e-59
PRKG2,-4.359678995394852,6.668683916704596e-59
ASPA,-3.9899578287566086,8.319952660268995e-59
EPHX4,4.5002243049633295,8.68046050369611e-59
AMPD1,-4.775610822104724,2.3235281154087477e-58
MYOC,-5.575454528398433,6.08782257870973e-58
MDFI,3.5251504349309224,9.612600572286073e-58
SPATA12,2.808259295582462,1.1277228170220641e-57
CTNND2,-3.7369530615725735,1.5529841341457936e-57
MS4A10,-3.948039570185912,1.572126476986096e-57
HPSE2,-3.7024619478082905,2.2347457435855976e-57
USP2,-4.528954093467505,2.5187984586823312e-57
SH2D7,-4.31016844618796,6.285306564282493e-57
PLP1,-6.466784879754392,2.4788496057796907e-56
SYT10,-2.4304727528569,3.2731105420094178e-56
CLDN23,-3.319662425379493,5.4602307362859935e-56
PVT1,2.602065853658539,7.6461883046597625e-56
CLDN8,-7.479857308545114,8.573290979670517e-56
PHOX2B,-4.292164113934847,1.0359875655253119e-55
HMGCLL1,-2.577039902780148,1.8062112473625425e-55
LRRC7,-2.8899477656489854,2.6846578634175238e-55
ACADS,-2.470650818693501,3.0135460878452667e-55
DHRS11,-2.911818574108821,4.0417864549718704e-55
RSPO2,-4.808267175507421,9.126199981440035e-55
PLEKHN1,3.606467968616753,9.836944143084584e-55
CMA1,-4.2852331656148746,1.0978971867341555e-54
PRR7,2.6920448916936786,1.7632424260775336e-54
NGB,-3.5390502728978337,1.839597025319064e-54
KIAA1549,2.43046868497356,2.0150843087641093e-54
CA1,-10.517174194098583,8.514935487586913e-54
GCNT2,-4.409287199385981,8.634335484118994e-54
HTR3E,-3.853537148217636,9.282054288150995e-54
GFRA2,-4.405178935698449,2.3811632924955163e-53
SLC17A7,-3.1957262749445667,3.173300666220774e-53
ST8SIA3,-2.8860572829609423,1.3310255229095209e-52
MOBP,-2.6379394166808794,1.3624208454083048e-52
CA2,-5.906837762237764,2.558850918833805e-52
KRTAP13-2,-3.689623563022344,3.2616750677991644e-52
CASR,-2.524843314003071,3.317451657486174e-52
MAGEE2,-2.0074619307521746,6.236384406008565e-52
SMPDL3A,-2.8479233498209098,7.949529488551912e-52
CADM2,-3.5991176019102844,1.1127985552271836e-51
PKIB,-4.850211734606858,1.904290170898761e-51
PHOX2A,-3.0587909602592527,1.9960404412842346e-51
PPM1H,2.1896948149411566,4.865844433449533e-51
CPNE7,5.070337122633468,4.9607941675870575e-51
NPY,-3.267021627153333,7.2698339915617e-51
C2orf40,-4.851852362271874,1.0905337733820897e-50
NRXN1,-5.2430554494286215,1.932439284390642e-50
KIF14,2.174083140030703,2.9888854931067346e-50
CBX2,3.521803035988407,8.448775301215056e-50
MMP7,7.148217158451294,9.10811215828554e-50
HS3ST6,-2.8859351952925114,9.938982738339462e-50
DMRTA1,-3.950602839843087,1.143161910448569e-49
KCTD4,-2.995410114275969,1.2711074599509225e-49
C1orf135,2.1766591591335462,1.9403499642679555e-49
BMP3,-6.720293382227531,2.0383893542610496e-49
ABCA8,-6.451175473307181,2.3252160138879057e-49
GUCA2A,-7.207980658366026,3.119952857074952e-49
NAAA,-2.286967849223944,4.248066757606201e-49
CD177,-7.854776257888456,4.616556824863644e-49
AQP8,-9.325312510660073,4.7876768016966645e-49
SPIB,-5.595286244243559,5.1997606675227696e-49
TPH1,-4.005951969981238,9.644999622396608e-49
MAMDC2,-5.870987395531296,1.1668629874996694e-48
PPAP2A,-2.1137193757462054,2.2120183472963028e-48
CCL23,-3.908737975439196,5.847781475697883e-48
SCARA5,-6.294625481835239,7.700051626832701e-48
INHBA,4.844784862698278,9.057855368118231e-48
SLC6A19,-6.770902933651715,9.145509702892483e-48
KIAA0408,-4.942240653249189,9.687611377547788e-48
ROPN1,-2.5921427682074016,9.696056554536257e-48
INSL5,-5.1893662203650015,1.0189546373245199e-47
DDN,3.992422164420946,1.0397120728919327e-47
LOC572558,-3.64601970834044,1.2043763074054183e-47
ELAVL3,-2.7164358945932108,1.38237636982554e-47
CST1,6.876110915913356,1.3924393990835695e-47
CNTN2,-4.13404147194269,2.382554807450128e-47
C1orf177,-2.573178731025072,2.7535657067344017e-47
XRCC2,2.136382278696913,3.037448874361761e-47
NEBL,2.319340081869345,3.6185188001358975e-47
HSD3B2,-5.723218352379326,5.074375251331735e-47
KCNIP4,-2.131478048780492,1.4044804939152972e-46
PI16,-5.917136406276652,1.7465587579952294e-46
LYVE1,-4.796294695548352,2.2081712446309707e-46
KIAA1257,3.25505289101143,2.421833632029812e-46
CD160,-2.575203650008529,2.7642436039621444e-46
COL11A1,6.546156131673209,3.7444057214700675e-46
GYLTL1B,4.223555338563878,4.5399610259859655e-46
IL6R,-3.227806779805558,4.610697275375534e-46
RHPN1,2.904587276138482,4.8758276997603294e-46
GNG3,-2.720850707828755,6.477778717039683e-46
PKHD1L1,-3.997936210131331,6.5995108113277225e-46
GBA3,-5.561421311615214,7.166074802209002e-46
FUT1,2.5101322190005035,7.897446522830622e-46
CHST9,-2.940051074535222,7.944069703640267e-46
SLC27A6,-2.8755942520893747,9.205212330726227e-46
ADHFE1,-3.382214088350672,9.205212330726227e-46
CHAD,-3.745862476547844,9.257180303355994e-46
ASTN1,-3.539587276138497,9.976077439599349e-46
RAD54B,2.083257973733587,1.1839143679347722e-45
CDKN2B,-3.5024403121269003,1.2555457500044218e-45
BAI3,-3.4765285945761555,1.4308015822578688e-45
CDC25B,2.043699778270509,1.6865820859328486e-45
TP53INP2,-2.706790405935529,1.7746705829556137e-45
ORC6L,2.0316868582636864,2.7008106521053766e-45
ACAN,3.734502942179765,3.034624420924371e-45
NCRNA00092,-2.597010779464436,3.361246166416241e-45
SLC6A6,2.849352268463237,4.3373714834303307e-45
CLEC9A,-2.886389339928363,4.500133959985042e-45
FAM5C,-5.746902328159643,6.475670345381453e-45
MAL,-4.046473563022343,6.631406141229054e-45
ENTPD5,-2.6654995309568523,6.990723721144907e-45
FAM82A1,-2.0614914719426967,7.694576671596969e-45
TMEM100,-4.381827323895617,1.2279871601793649e-44
CRHBP,-2.38138703735289,1.230212742487605e-44
MT1M,-5.827277144806414,1.7124456964153324e-44
CA4,-8.737511282619824,1.7439164729361425e-44
ALPI,-5.447918062425387,2.0206528173107118e-44
MAB21L1,-3.091816322701688,2.1261525719707765e-44
LOC728606,-2.8213787310250718,2.365466152653421e-44
PLAC9,-4.010527153334472,2.644281859720785e-44
MACC1,2.378994073000179,2.7423928340460253e-44
CNTFR,-5.901771268974928,3.276117792586365e-44
SLC7A14,-3.933602601057478,3.7326594844069335e-44
ZNF536,-3.7032259167661614,3.798935629998855e-44
SCN11A,-3.374489561657854,3.976293192997612e-44
C11orf82,2.0119389902780105,4.900148585019609e-44
TMEM132A,2.347644797885045,5.812553405807731e-44
IQGAP3,2.0262661436124816,7.255174207036418e-44
RNF152,-3.075178287566094,7.321774673355026e-44
SKA3,2.067349735630221,8.174241544099496e-44
HPGDS,-3.820605713798399,9.2086794522142e-44
SLC26A2,-4.976358024901931,1.0413075563345512e-43
MT1F,-3.473923665359033,1.8090408454895484e-43
ERVFRDE1,-2.2024064642674395,1.9642751758588875e-43
SEC14L2,2.4660098754903546,2.0144368416907817e-43
VWA2,3.9140694183864913,2.149787921494735e-43
FOXD3,-2.9763733327647977,2.4925858644053042e-43
CCNO,2.806455440900565,2.9557862118922547e-43
MS4A12,-8.512752421968276,3.1813774552354503e-43
PIRT,-4.513139723690946,3.2750203927870507e-43
TTC22,-2.1210233327648016,3.916734698576303e-43
KLF4,-2.845154161691976,5.22734471776566e-43
SIM2,3.6974048439365466,6.018717932651024e-43
KIAA2022,-3.778261410540678,6.37964037079958e-43
TMEM37,-3.453687566092441,6.964307106978447e-43
GABRD,2.478768207402353,9.286315081640228e-43
NAP1L2,-3.826868011257033,1.1091468877051417e-42
UNC5C,-3.4749327903803504,1.3427563144505562e-42
DPP6,-4.498508886235715,1.826368618590645e-42
PRIMA1,-5.52891125703565,2.0494005802556562e-42
HMP19,-4.571803274774008,2.0494005802556562e-42
CEP72,2.0247312126897503,2.2623875158637922e-42
CADM3,-5.879660301893232,2.2647635198762786e-42
AHCYL2,-2.901951825004277,2.4992342186423162e-42
PDE6A,-4.636660404229918,2.5224265997674352e-42
FAM107A,-3.767915512536242,2.9024481067043115e-42
OSTalpha,-4.963331809653764,3.7026542588616864e-42
SLC16A12,-2.307804212860311,3.710441807076854e-42
TMEM82,-4.550491488998805,3.731427325116469e-42
CHGA,-8.062207896981072,3.9892797314250186e-42
FXYD1,-4.628653965546649,4.1246222113905e-42
GPT,-4.259766058331914,4.714202617833286e-42
NRG2,-2.6373554153163914,4.928271240925804e-42
SLC22A18AS,-2.7073277588265388,5.853904473627289e-42
ADCYAP1R1,-2.1461129029507067,6.14096012858725e-42
SCN7A,-5.5324580931263885,6.932847414098628e-42
C7orf68,2.172703632952409,7.853103260169606e-42
ELAVL4,-3.1957772983114445,8.513460807282319e-42
SEMA3E,-4.64594860992666,1.0263169942160368e-41
CBLN2,-3.321581152993349,1.0282218738834083e-41
SCN9A,-4.315579200068224,1.2479510852054374e-41
GPR44,-3.359528381374722,1.3499726745131929e-41
SOX10,-4.827119870373531,1.538192501746712e-41
CGREF1,3.4949785178236423,2.2036128259815323e-41
NPY6R,-4.770919895957699,2.6256205353410434e-41
ASPG,-4.787533174142931,2.9658313810448044e-41
UBE2C,2.0416461197339366,3.8620496876014464e-41
METTL7A,-2.7233650179089164,3.869078697396207e-41
SMOX,2.1294062340098865,4.2016325197528925e-41
RASGEF1C,-2.7532732901245094,4.683915861414211e-41
ANKRD13B,2.2861980726590474,5.020130514722893e-41
SLC5A7,-3.296317124339076,5.539702706985726e-41
NAALADL1,-3.4099391096708125,5.621639758080669e-41
OTX1,4.021699641821591,5.871240059128664e-41
AGPAT9,-2.8855594831997253,6.09382746820427e-41
SPOCK3,-3.106981084768889,6.445785975360598e-41
NR3C2,-3.092709039740745,6.807108788312371e-41
ZG16,-9.130465316390929,7.98690888522426e-41
RIMS4,-3.656437617260788,8.508219123519682e-41
CLCA4,-9.037958084598325,1.2114363304912878e-40
TMEM220,-3.270813730172267,1.3102237541026612e-40
CDKL1,-2.1134024987207933,1.4049188788927123e-40
KCNE2,-2.3071798993689208,1.4495754961030563e-40
P2RY4,-2.6685922138836773,1.5134341325511442e-40
GLRA4,-2.575895386320995,2.1219266015434064e-40
SFRP1,-5.837607692307692,2.183909715753107e-40
GABRG2,-2.7970561316732043,2.1888285155019597e-40
B3GALT1,-4.2796793706293705,3.054872740741921e-40
