confidence,gene,in_network,degree,betweenness,n_neighbors,neighbors
0.9,CDH3,no,0,0.0,0,
0.9,OTOP2,no,0,0.0,0,
0.9,DHRS7C,no,0,0.0,0,
0.9,AADACL2,no,0,0.0,0,
0.9,KRT80,no,0,0.0,0,
0.9,ETV4,no,0,0.0,0,
0.9,ESM1,no,0,0.0,0,
0.9,TMEFF2,no,0,0.0,0,
0.9,LGI1,yes,2,0.0,2,CNTN2;KCNA1
0.9,KHDRBS2,no,0,0.0,0,
0.7,CDH3,yes,2,0.0,2,CDH10;CDH19
0.7,OTOP2,yes,1,0.0,1,BEST4
0.7,DHRS7C,no,0,0.0,0,
0.7,AADACL2,no,0,0.0,0,
0.7,KRT80,no,0,0.0,0,
0.7,ETV4,no,0,0.0,0,
0.7,ESM1,no,0,0.0,0,
0.7,TMEFF2,no,0,0.0,0,
0.7,LGI1,yes,7,0.01498,7,ADGRV1;CNTN2;DNER;DPP10;DPP6;DPYSL5;KCNA1
0.7,KHDRBS2,no,0,0.0,0,
