gene,global,stage_I,stage_II,stage_III,stage_IV
CDH3,0.2985228537490727,0.3484140808087737,0.2932766060558953,0.30297627269274496,0.27503366238926097
OTOP2,0.2859489646701809,0.2663729694073136,0.2719726669038037,0.30810878598754665,0.2839139986373528
DHRS7C,0.23502309639661076,0.22141726965307823,0.23486826401595431,0.23670124598107886,0.2384659227078414
AADACL2,0.2998258086075382,0.3272187441105442,0.32738822530977185,0.28003099302306456,0.22726855522954206
KRT80,0.31799428733128404,0.32368876258067003,0.32260809345418695,0.32064590924135894,0.2842680853329627
ETV4,0.2780044149151807,0.31296205262568194,0.274002376963655,0.27704874106441524,0.27728530759060066
ESM1,0.28518108080849147,0.31251681412250387,0.26851308947924585,0.28874923736223723,0.3306636626085968
TMEFF2,0.2288714633497805,0.22987165781936714,0.24241183182307285,0.21360356284128476,0.22051832769440813
LGI1,0.20894810050850496,0.2432711217388949,0.1925783361223822,0.21263189356647447,0.24825368050368557
KHDRBS2,0.2467163179360026,0.24262934676291123,0.25252732457887067,0.2574635882901796,0.18544290676905364
