gene,global,stage_I,stage_II,stage_III,stage_IV
CDH3,0.24813418445458135,0.2561885713706878,0.24865599272851233,0.2476691340201632,0.24822368311563034
OTOP2,0.25592161478368347,0.25131889783521766,0.24658503236423163,0.2714369525505777,0.24870205738002077
DHRS7C,0.18325337144437684,0.1791383039624086,0.18516146280327916,0.1803095427933134,0.18624591700463256
AADACL2,0.22151806697647047,0.221599954539774,0.22108270437539326,0.2240070036403396,0.21441529608682253
KRT80,0.26253083197936256,0.27918588978816156,0.22985619166143745,0.2797609906696151,0.3019896743868338
ETV4,0.2247341431090458,0.20247460776916443,0.21404401556809044,0.2264485963064812,0.2755374499821348
ESM1,0.24301583242470637,0.2056313736349276,0.228624385144351,0.26185966822463536,0.28258368013103724
TMEFF2,0.1866965054541712,0.1975639494007035,0.19631249675860454,0.16591349712560877,0.18384728606793183
LGI1,0.20810826797352722,0.19741768068002896,0.22431952861324844,0.19913197186323983,0.19334659570548188
KHDRBS2,0.2081164888005705,0.19175426363824444,0.20767200931347668,0.20306245805615086,0.22548140130800012
